candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
C,1,0,2,7.626608878859702,2.125346614590814,5.501262264268888,0.043872868977556295,2.116010360999721,2.7531847553561657,3.5583225135651966,100.0,2.599827659477899,True,True,0.8764243006706238,0.7780006468296051,0.0984236538410187,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,97.8,0.8230482935905457,0.7373089611530304,0.0857393324375153,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,96.4,1.7625101447105407,1.848249477148056,-0.0857393324375153,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,96.4
G+C,1,0,2,3.15792239480694,0.6085583110190349,2.5493640837879052,0.032696908296535994,1.0238649289229926,1.3642643157141974,1.7314904749237876,100.0,2.489941799715311,True,True,0.8841201305389405,0.7780006468296051,0.10611948370933533,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,98.5,0.7908068299293518,0.7373089611530304,0.053497868776321456,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,81.6,1.7947516083717345,1.848249477148056,-0.053497868776321456,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,81.6
A+C,1,0,2,2.1385141070464506,0.3409217156403992,1.7975923914060514,0.030884053071861525,0.8110102519148353,1.0845632708639772,1.4100304247191087,99.4,2.2164854108340144,True,True,0.8886843204498291,0.7780006468296051,0.11068367362022402,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,98.8,0.8185461282730102,0.7373089611530304,0.08123716711997986,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,95.2,1.7670123100280761,1.848249477148056,-0.08123716711997986,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,95.2
G+A,1,0,2,1.8557429972564594,-0.11319328063597345,1.9689362778924329,0.04164452687961949,1.1528587037190647,1.6065563818461697,2.0171381780451516,92.9,1.707873021681445,True,True,0.864437597990036,0.7780006468296051,0.08643695116043093,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,95.3,0.8014537990093231,0.7373089611530304,0.06414483785629277,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,88.8,1.7841046392917632,1.848249477148056,-0.06414483785629277,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,88.8
Full,1,1,0,4.465051139969534,3.1245949115802425,1.3404562283892911,0.018506065800497837,1.376927165352666,1.7576687361563184,2.3593845442662538,99.9,0.9735128059921501,True,True,0.7580080509185791,0.6858639121055603,0.07214413881301884,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,100.0,0.6747721314430237,0.6419785499572754,0.03279358148574829,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,99.3,1.9336206316947937,1.966414213180542,-0.03279358148574829,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,99.3
G,1,1,0,1.4916330813150331,0.7959917682980442,0.695641313016989,0.015355019404156761,0.4772909760976126,0.6218158305856396,0.7801354173109417,100.0,1.4574784520433102,True,True,0.7529929757118226,0.6858639121055603,0.06712906360626225,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,100.0,0.6623574018478393,0.6419785499572754,0.020378851890563876,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,98.7,1.9460353612899781,1.966414213180542,-0.020378851890563876,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,98.7
A,1,1,0,0.8643258905860466,0.6350858612951844,0.22924002929086218,0.0038746528887110745,0.35838796709714227,0.4609031166172524,0.6062361103209806,98.8,0.6396420927511941,True,True,0.7528721213340759,0.6858639121055603,0.06700820922851558,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,100.0,0.6638970136642456,0.6419785499572754,0.021918463706970148,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,98.8,1.9444957494735717,1.966414213180542,-0.02191846370697026,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,98.8
C,1,1,0,6.431161506338628,2.2378762859465766,4.193285220392052,0.03557281518370587,1.9353670053746383,2.586060140936222,3.231137665781777,100.0,2.1666615214308345,True,True,0.621523118019104,0.6858639121055603,-0.06434079408645632,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,59.2,0.5450325965881347,0.6419785499572754,-0.09694595336914069,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,13.8,2.063360166549683,1.966414213180542,0.0969459533691408,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,13.8
G+C,1,1,0,2.767117199210136,1.3554608397846881,1.411656359425448,0.024248223200083047,0.7923953133366488,1.0441048915367623,1.3127128470400435,100.0,1.7815051851848933,True,True,0.715714967250824,0.6858639121055603,0.02985105514526365,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,99.0,0.6105345129966736,0.6419785499572754,-0.03144403696060183,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,80.1,1.9978582501411437,1.966414213180542,0.03144403696060172,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,80.1
A+C,1,1,0,2.175106521261628,1.1945549327818283,0.9805515884797997,0.012767856684637528,0.627230407607618,0.80068055425789,1.0606822721513924,100.0,1.5633036545849543,True,True,0.7458415269851685,0.6858639121055603,0.059977614879608177,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,99.9,0.6466969728469849,0.6419785499572754,0.004718422889709473,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,96.4,1.9616957902908325,1.966414213180542,-0.004718422889709473,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,96.4
G+A,1,1,0,2.354706588901778,1.431077629593228,0.9236289593085503,0.019229672292867518,0.8124184578859628,1.0853043103468094,1.371833441100036,99.6,1.1368882013241972,True,True,0.7528721213340759,0.6858639121055603,0.06700820922851558,0.6105328284144401,0.046058357509265895,0.6690560150146484,0.6843337815999985,100.0,0.6638970136642456,0.6419785499572754,0.021918463706970148,0.5816261760473251,0.03426676254637284,0.6253243112564086,0.6392201215028763,98.8,1.9444957494735717,1.966414213180542,-0.02191846370697026,2.0267665870904925,0.03426676254637284,2.0698747086524962,2.0828036606311797,98.8
Full,1,1,2,6.783829381731203,0.8365888387055636,5.947240543025639,0.11856275028511344,2.7675793859616697,3.668060631867506,4.810975784222412,100.0,2.1488960978653595,True,True,0.8996996700763702,0.7780006468296051,0.12169902324676507,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,99.7,0.8278924286365509,0.7373089611530304,0.09058346748352053,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,97.6,1.7576660096645356,1.848249477148056,-0.09058346748352042,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,97.6
