candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
Full,20,0,15.294100329922989,15.200233016348557,0.09386731357443168,0.009386731357443168,2.991513240900457,0.0313778699993911,"[0, 2, 8, 3, 1, 7, 4, 5, 9, 6]","[3, 2, 8, 9, 1, 7, 0, 5, 4, 6]"
G,20,0,5.014726545969317,4.974997520228213,0.039729025741104707,0.0039729025741104705,0.9999999999999771,0.039729025741105616,"[0, 5, 8, 3, 1, 7, 4, 2, 9, 6]","[0, 7, 8, 3, 1, 5, 4, 2, 9, 6]"
A,20,0,5.019192744859979,4.975961393412954,0.04323135144702572,0.0043231351447025725,0.9999999999999771,0.04323135144702671,"[0, 5, 8, 3, 1, 7, 4, 2, 9, 6]","[0, 7, 8, 3, 1, 5, 4, 2, 9, 6]"
C,20,0,10.454514991897462,10.312450000749665,0.14206499114779625,0.014206499114779624,0.9999999997011335,0.1420649911902547,"[3, 9, 0, 7, 2, 8, 4, 1, 6, 5]","[0, 9, 3, 7, 2, 8, 4, 1, 6, 5]"
G+C,20,0,5.879242155657764,5.770910957987612,0.10833119767015198,0.010833119767015198,1.0125403896029002,0.10698950756190329,"[3, 2, 8, 9, 0, 7, 6, 5, 4, 1]","[3, 2, 7, 9, 0, 8, 6, 5, 4, 1]"
A+C,20,0,5.863659536475042,5.747765773222993,0.11589376325204892,0.011589376325204893,1.0121637440416051,0.11450100236675252,"[3, 2, 8, 9, 0, 7, 6, 5, 4, 1]","[3, 2, 7, 9, 0, 8, 6, 5, 4, 1]"
G+A,20,0,10.033919290829298,9.950958913641164,0.0829603771881331,0.00829603771881331,1.9999953175352831,0.04148028570905368,"[0, 5, 8, 3, 1, 7, 4, 2, 9, 6]","[0, 7, 8, 3, 1, 5, 4, 2, 9, 6]"
Full,20,1,17.121720523651717,16.848994997111387,0.2727255265403308,0.027272552654033076,3.046368532382811,0.08952479768657869,"[3, 7, 8, 5, 0, 1, 2, 6, 9, 4]","[3, 7, 8, 5, 1, 0, 2, 6, 9, 4]"
G,20,1,5.524004226837847,5.522356103109252,0.001648123728594797,0.0001648123728594797,0.9999999999999784,0.0016481237285948327,"[3, 4, 7, 5, 0, 1, 2, 6, 9, 8]","[3, 7, 8, 5, 0, 1, 2, 6, 9, 4]"
A,20,1,5.5207444234975895,5.51137490682971,0.009369516667879552,0.0009369516667879551,0.9999999999999784,0.009369516667879755,"[3, 4, 7, 5, 0, 1, 2, 6, 9, 8]","[3, 7, 8, 5, 0, 1, 2, 6, 9, 4]"
C,20,1,11.932432202764339,11.604481755622608,0.32795044714173116,0.03279504471417312,0.9999999996795023,0.32795044724683853,"[3, 9, 6, 7, 8, 2, 4, 1, 0, 5]","[3, 9, 6, 7, 2, 8, 4, 1, 0, 5]"
G+C,20,1,6.337594232093749,6.266313781482944,0.07128045061080446,0.007128045061080446,1.065671920804687,0.06688780028752256,"[3, 2, 8, 5, 0, 7, 4, 6, 9, 1]","[3, 2, 1, 5, 7, 8, 0, 6, 9, 4]"
A+C,20,1,6.335487573092936,6.237316926296296,0.0981706467966399,0.009817064679663989,1.0653028619450609,0.09215280490038023,"[3, 2, 8, 5, 0, 7, 4, 6, 9, 1]","[3, 7, 1, 5, 0, 8, 2, 6, 9, 4]"
G+A,20,1,11.044748650335436,11.033731009938961,0.011017640396474349,0.001101764039647435,1.9999955271054688,0.005508832518450597,"[3, 4, 7, 5, 0, 1, 2, 6, 9, 8]","[3, 7, 8, 5, 0, 1, 2, 6, 9, 4]"
Full,20,2,14.24147125082619,14.170659061973879,0.07081218885231166,0.007081218885231166,3.021853398290243,0.02343336340948142,"[3, 7, 6, 9, 1, 8, 0, 2, 5, 4]","[3, 7, 6, 5, 1, 8, 0, 2, 9, 4]"
G,20,2,4.583835649706619,4.571090404952157,0.012745244754461815,0.0012745244754461815,0.9999999999999808,0.01274524475446206,"[3, 7, 6, 5, 1, 8, 0, 2, 9, 4]","[3, 8, 7, 5, 6, 1, 0, 2, 9, 4]"
