round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio,delta_fedrad_minus_clean,mean_reset_delta_norm,mean_active_reset_kernels,total_active_reset_kernels
11,33.07,1.8191573242838817,18.191573242838817,2.7284342766338647,8,0.8,0.012338928620621914,0.0012338928620621915,0.003964706477624695,3.112192211518851,1.6990701156606347,15.399243899999988,0.0,8.535550299999954,0.00031039999998938583,425608192,-55.79716619074345,66.46892695556052,38.437580949948156,-55.94737476587296,66.50083205050554,38.51054864253861,55.94737476587296,66.50083205050554,38.51054864253861,0.0010210551727900849,0.007165635534483475,0.0038801149420676154,1.0,0.990000000000002,13.483340707616154,75.0,750
12,33.09,1.3418270228067608,13.418270228067609,-0.6856495621688593,10,1.0,0.10792685468285868,0.010792685468285868,0.035770637062442864,3.017191292804112,1.0003331181952861,15.017155799999955,0.0,9.1085286,0.00031909999995605176,425608192,-44.08581580519676,39.15010975958918,13.675829705764839,-44.230862212181094,39.17531672349795,13.73939786881149,44.230862212181094,39.17531672349795,13.73939786881149,0.0006641615050820223,0.004938327478558182,0.00343512556880872,1.0,-1.5,13.281304368698832,75.0,750
13,31.19,0.5389333435814802,5.389333435814802,-0.6054814713342198,9,0.9,0.005917350610942229,0.0005917350610942229,0.001935726858107484,3.056914040407275,0.6643748837397973,15.231115799999998,0.0,9.06963799999994,0.0003191000000697386,425608192,-156.42593180000782,365.5726490953702,85.15967671155306,-156.56959829092025,365.65325250624966,85.21366764860615,156.56959829092025,365.65325250624966,85.21366764860615,-4.959775159498286e-05,0.004503292814243359,0.0032020084958580782,1.0,-1.6699999999999982,13.12161597968463,75.0,750
14,35.44,1.0811268277705433,10.811268277705432,-3.2029995180859108,10,1.0,0.10554157853995783,0.010554157853995782,0.03465455255742876,3.0455328593568374,1.1932815246129262,15.229093199999966,0.0,9.056201100000067,0.00033069999994950194,425608192,-143.82544797182084,149.07717953920837,58.557612605735656,-143.92323813676833,149.0781187380535,58.583463904573186,143.92323813676833,149.0781187380535,58.583463904573186,-0.0011881225517360611,0.005431998725323881,0.0030533318094073344,1.0,-0.12000000000000455,13.005580222535391,75.0,750
15,34.85,2.001682492423624,20.01682492423624,-0.61044744914066,8,0.8,0.09543124137206149,0.00954312413720615,0.03214288019181933,2.9689698248120795,1.6843438505256427,15.177442400000018,0.0,8.830809299999942,0.0003257999999277672,425608192,-63.04033727645874,52.20747845646478,30.350971065696516,-63.27629137516022,52.291690720299876,30.436145996283386,63.27629137516022,52.291690720299876,30.436145996283386,0.0022302561241447807,0.004854158572273458,0.003248107588158606,1.0,-0.28000000000000114,12.699390802321066,75.0,750
16,36.93,1.5361549119118632,15.361549119118632,-0.19459353502860283,8,0.8,0.3522660226085428,0.03522660226085428,0.1133902737576559,3.106668772679971,1.3216392124577605,15.316364499999963,0.0,9.247906900000089,0.00034459999983482703,425608192,-60.63435327649117,46.47752392168052,20.50162740496562,-60.87074115037918,46.45681545717657,20.466072340782222,60.87074115037918,46.45681545717657,20.466072340782222,0.004207338732094461,0.005184683896797507,0.0027413920200773747,1.0,0.8699999999999974,12.605047738024789,75.0,750
17,34.35,1.9886152083209805,19.886152083209804,0.22979040392919903,10,1.0,0.26366464771490783,0.026366464771490784,0.08661278460410422,3.044177010588964,1.5339267251673852,15.25456280000003,0.0,8.763151999999991,0.0003007999998771993,425935872,-74.65994224309921,56.790658518126165,29.552081713781284,-74.78297045588494,56.844243337232584,29.59578396371552,74.78297045588494,56.844243337232584,29.59578396371552,0.0005829339356321994,0.0037709730893964433,0.002661572061615996,1.0,1.3700000000000045,12.40827597480373,75.0,750
18,40.39,1.1824180144240837,11.824180144240836,3.466693879437452,9,0.9,0.2581778798447214,0.02581778798447214,0.08567752450250345,3.013367640391823,1.068505072622632,15.134603900000002,0.0,9.451974399999926,0.0003028999999514781,425608192,-61.24991568446159,61.95147463313222,21.33808852632579,-61.42704843044281,61.999890929550006,21.336133337520014,61.42704843044281,61.999890929550006,21.336133337520014,0.0015664772196428956,0.003863711043822133,0.002633284943110065,1.0,1.3800000000000026,12.211888969473783,75.0,750
19,36.87,1.1960432536692296,11.960432536692297,-2.090008248351641,10,1.0,0.18410212684142557,0.018410212684142557,0.05907274289636086,3.116532563324854,1.0989588424589367,15.409534699999995,0.0,8.639657599999964,0.0003218000001652399,425608192,-61.05792995005846,64.56997305003657,24.746932879859532,-61.12805344492197,64.61794038100058,24.834832007468172,61.14071303367615,64.60589863575184,24.823309803772045,0.0007342395255239864,0.004081028926908929,0.0026607635171651883,0.98,0.4799999999999969,12.05061134618268,75.0,750
20,36.46,1.424515730059748,14.24515730059748,1.7883330559800816,7,0.7,0.19983280928252434,0.019983280928252432,0.06680027346394399,2.9914968744908776,1.7041492072564046,15.099418300000025,0.0,8.139937400000008,0.00032190000001719454,425608192,-49.680360207557676,38.11668149405478,22.112950658960273,-49.82615510225296,38.19943222294658,22.145374108724898,49.82615510225296,38.19943222294658,22.145374108724898,0.0019760770092118025,0.003043653256185461,0.002630480399323562,1.0,0.509999999999998,11.830393798265435,75.0,750
