protocol,candidate,round,source_replicate,heldout_replicate,functional_percentile,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile,source_replicates
P0_32_32,Full,20,2,0,100.0,-42.39301460981369,-59.83288290500641,17.439868295192717,-61.50284260206223,8.30371477883195,-51.420990079641335,-48.93104357004166,100.0,-42.56488300561905,-59.91906772851944,17.354184722900385,-61.627574374866484,8.316782025733442,-51.54962126016617,-49.04657447099686,100.0,44.34681282043457,61.700997543334964,-17.354184722900392,63.40950418968201,8.316782025733442,74.41431518554687,78.6239751815796,100.0,
P0_32_32,Full,20,2,1,99.90000000000002,-61.870766043663025,-84.65773347616195,22.786967432498926,-83.33693975942136,8.045603248339312,-73.10587053656579,-70.9787590020895,99.9,-61.962450969219205,-84.72445286512375,22.762001895904547,-83.4599766633034,8.067822506461054,-73.22571493864059,-71.03749185323716,99.9,63.74647884368896,86.50848073959351,-22.762001895904547,85.24400453777315,8.067822506461054,95.77296709060668,98.69053413391114,99.9,
P0_32_32,Full,40,0,1,98.59999999999998,-187.12039358615874,-242.41953349113464,55.2991399049759,-222.40033362617493,16.9610739698933,-200.40427914619445,-195.91308654248715,98.6,-187.5401528775692,-242.72349066138267,55.18333778381347,-222.69103961577417,16.96668198779222,-200.7374307858944,-196.19905854582785,98.6,188.98327865600587,244.16661643981934,-55.18333778381347,224.13416539421084,16.96668198779222,247.1276254272461,252.77046033859253,98.6,
P0_32_32,Full,40,0,2,98.8,-136.8316196680069,-167.66214073896407,30.83052107095716,-162.46239628875256,12.412872009514805,-145.57074117362498,-142.27461976110936,98.8,-137.2120387196541,-167.9158994793892,30.703860759735107,-162.7451483113289,12.416193645706176,-145.80240870714186,-142.56009480714798,98.8,138.50901069641114,169.21287145614625,-30.703860759735107,164.04212028808595,12.416193645706176,180.27691592216493,184.67756124973295,98.8,
P0_32_32,Full,40,1,0,99.2,-173.31039930582045,-213.174271273613,39.863871967792534,-208.0090096097827,15.467319155616673,-188.49156393766404,-183.18928835093976,99.2,-173.62916100621223,-213.52116807103158,39.89200706481935,-208.31246430211067,15.471686440343353,-188.7669540512562,-183.46022477269173,99.2,175.04928970336914,214.94129676818847,-39.892007064819325,209.73259299926755,15.471686440343353,230.74317344665528,236.6962552833557,99.2,
P0_32_32,Full,40,1,2,69.43333333333334,-155.7849367380142,-167.66214073896407,11.87720400094986,-162.46239628875256,12.412872009514805,-145.57074117362498,-142.27461976110936,69.5,-156.1271525502205,-167.9158994793892,11.788746929168695,-162.7451483113289,12.416193645706176,-145.80240870714186,-142.56009480714798,69.4,157.42412452697755,169.21287145614625,-11.788746929168695,164.04212028808595,12.416193645706176,180.27691592216493,184.67756124973295,69.4,
P0_32_32,Full,40,2,0,61.96666666666667,-202.75051033496857,-213.174271273613,10.42376093864442,-208.0090096097827,15.467319155616673,-188.49156393766404,-183.18928835093976,61.9,-203.09320710301398,-213.52116807103158,10.4279609680176,-208.31246430211067,15.471686440343353,-188.7669540512562,-183.46022477269173,62.0,204.5133358001709,214.94129676818847,-10.427960968017572,209.73259299926755,15.471686440343353,230.74317344665528,236.6962552833557,62.0,
P0_32_32,Full,40,2,1,97.2,-190.28516833782197,-242.41953349113464,52.13436515331267,-222.40033362617493,16.9610739698933,-200.40427914619445,-195.91308654248715,97.2,-190.56283029913902,-242.72349066138267,52.16066036224365,-222.69103961577417,16.96668198779222,-200.7374307858944,-196.19905854582785,97.2,192.0059560775757,244.16661643981934,-52.16066036224365,224.13416539421084,16.96668198779222,247.1276254272461,252.77046033859253,97.2,
P0_32_32,G,1,0,1,88.8,0.1789524793624878,0.057305097579956055,0.12164738178253173,0.038935121524333954,0.06861102511652183,0.12736958861351014,0.14618527710437773,98.6,0.07905117273330689,0.024266541004180908,0.05478463172912598,0.016895333647727967,0.0570946090461479,0.09087414979934692,0.10380568385124203,83.9,2.5398778319358826,2.5946624636650086,-0.054784631729126065,2.6020336710214615,0.0570946090461479,2.6818575954437254,2.6989065259695053,83.9,
P0_32_32,G,1,0,2,85.13333333333333,0.7954537034034729,0.761026269197464,0.03442743420600891,0.6971853922724724,0.042617816179518854,0.7546285223960877,0.7681331986188888,99.0,0.7015414476394654,0.7203345835208893,-0.01879313588142395,0.6772109715223313,0.03040903186850289,0.7196391022205353,0.7296484735608101,78.2,1.884016990661621,1.8652238547801971,0.01879313588142395,1.908347466778755,0.030409031868502898,1.9476818084716796,1.9543427312374115,78.2,
