candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
G,5,2,3.1173875385582743,3.085205075309636,0.03218246324863827,0.003218246324863827,0.9999999999999812,0.032182463248638875,"[9, 7, 4, 8, 2, 6, 5, 1, 3, 0]","[4, 7, 9, 8, 2, 6, 5, 1, 3, 0]"
A,5,2,3.111966379053279,3.0832751606622173,0.028691218391061923,0.002869121839106192,0.9999999999999813,0.028691218391062458,"[9, 7, 4, 8, 2, 6, 5, 1, 3, 0]","[4, 7, 9, 8, 2, 6, 5, 1, 3, 0]"
C,5,2,6.868347853095904,6.731005755734996,0.13734209736090808,0.013734209736090807,0.9999999998728109,0.1373420973783765,"[9, 7, 3, 5, 2, 8, 1, 0, 4, 6]","[9, 7, 0, 5, 2, 8, 6, 1, 3, 4]"
G+C,5,2,3.7854666018918124,3.7523116295195704,0.033154972372241964,0.0033154972372241966,1.1024657973931087,0.03007347026151762,"[9, 7, 4, 1, 2, 8, 5, 6, 3, 0]","[9, 7, 4, 6, 2, 8, 5, 1, 3, 0]"
A+C,5,2,3.7700528076965805,3.7409280728010597,0.02912473489552081,0.002912473489552081,1.1017923088976869,0.026433960974604473,"[9, 7, 4, 1, 2, 8, 5, 6, 3, 0]","[9, 7, 4, 6, 2, 8, 5, 1, 3, 0]"
G+A,5,2,6.229353917611554,6.1684802359718525,0.06087368163970197,0.006087368163970197,1.999993376876353,0.030436941613664857,"[9, 7, 4, 8, 2, 6, 5, 1, 3, 0]","[4, 7, 9, 8, 2, 6, 5, 1, 3, 0]"
Full,10,0,17.033550161326062,16.912448008936654,0.12110215238940825,0.012110215238940824,3.025127384353778,0.04003208361266342,"[8, 0, 3, 2, 7, 9, 6, 1, 4, 5]","[8, 0, 3, 2, 6, 9, 7, 1, 4, 5]"
G,10,0,5.629832613072714,5.626857797105871,0.00297481596684257,0.000297481596684257,0.9999999999999776,0.0029748159668426368,"[8, 0, 3, 2, 7, 9, 6, 1, 4, 5]","[8, 0, 3, 2, 6, 9, 7, 1, 4, 5]"
A,10,0,5.636873201138348,5.6353119219546475,0.0015612791837007478,0.00015612791837007478,0.9999999999999776,0.0015612791837007827,"[8, 0, 3, 2, 7, 9, 6, 1, 4, 5]","[8, 0, 3, 2, 6, 9, 7, 1, 4, 5]"
C,10,0,8.213240580874492,8.19250485085497,0.020735730019522336,0.0020735730019522335,0.9999999998066423,0.020735730023531747,"[3, 9, 7, 6, 1, 8, 2, 5, 4, 0]","[3, 9, 8, 6, 1, 7, 2, 5, 4, 0]"
G+C,10,0,5.81759053557097,5.797030992960819,0.020559542610151027,0.002055954261015103,1.0454153522871346,0.01966638672865417,"[3, 2, 7, 1, 0, 8, 6, 9, 4, 5]","[3, 9, 7, 2, 0, 8, 6, 1, 4, 5]"
A+C,10,0,5.814002402339938,5.788656694408839,0.02534570793109836,0.002534570793109836,1.0448809141179307,0.02425703024013482,"[3, 2, 7, 1, 0, 8, 6, 9, 4, 5]","[3, 9, 7, 2, 0, 8, 6, 1, 4, 5]"
G+A,10,0,11.266705814211063,11.262169719060521,0.0045360951505415414,0.00045360951505415417,1.9999937729084587,0.0022680546369626933,"[8, 0, 3, 2, 7, 9, 6, 1, 4, 5]","[8, 0, 3, 2, 6, 9, 7, 1, 4, 5]"
Full,10,1,13.579255188367787,13.531259233940487,0.04799595442730009,0.004799595442730009,3.057200428244784,0.01569931561695344,"[3, 8, 1, 2, 6, 4, 0, 7, 9, 5]","[3, 8, 1, 4, 6, 2, 0, 7, 9, 5]"
G,10,1,4.845908762930457,4.781315627480461,0.06459313544999645,0.006459313544999646,0.9999999999999858,0.06459313544999737,"[6, 8, 1, 2, 3, 4, 0, 7, 9, 5]","[3, 8, 1, 2, 6, 4, 0, 7, 9, 5]"
A,10,1,4.867146609191347,4.797286862878717,0.06985974631263048,0.006985974631263048,0.9999999999999858,0.06985974631263148,"[6, 8, 1, 2, 3, 4, 0, 7, 9, 5]","[3, 8, 1, 2, 6, 4, 0, 7, 9, 5]"
C,10,1,9.49393129613837,9.251024352179352,0.24290694395901902,0.024290694395901903,0.9999999997994434,0.2429069440077356,"[4, 9, 3, 0, 5, 6, 8, 1, 7, 2]","[4, 3, 8, 0, 5, 6, 9, 1, 7, 2]"
