candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
C,1,0,2,8.263959848237096,2.4359626617003127,5.827997186536784,-0.09533765099792584,2.091544006418469,2.5144290471839312,3.268311807886979,100.0,2.7864568800139975,True,True,0.49470295906066897,0.5175166189670563,-0.022813659906387285,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,87.7,0.44479573965072633,0.48350648283958436,-0.03871074318885803,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,81.4,2.1788596510887146,2.1401489078998566,0.03871074318885803,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,81.4
G+C,1,0,2,2.7635981947948327,1.6847540493027613,1.0788441454920714,-0.06394475127183452,1.0206225606502228,1.2420440036982454,1.634354147490211,99.9,1.0570451674169896,True,True,0.5321258306503296,0.5175166189670563,0.014609211683273338,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,98.1,0.4245344877243042,0.48350648283958436,-0.058971995115280174,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,63.2,2.1991209030151366,2.1401489078998566,0.05897199511528006,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,63.2
A+C,1,0,2,1.3635645290210707,1.5922006677957823,-0.22863613877471156,-0.06400939088048631,0.8184467173500499,0.9539750387621189,1.3129699440161937,95.8,-0.2793537244733353,False,True,0.5163877010345459,0.5175166189670563,-0.0011289179325103538,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,94.7,0.4161055564880371,0.48350648283958436,-0.06740092635154726,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,52.3,2.2075498342514037,2.1401489078998566,0.06740092635154715,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,52.3
G+A,1,0,2,1.196372214385253,2.058973386248387,-0.8626011718631339,-0.08028531665335795,1.1401373452052945,1.4328854727862939,1.8342615576418733,86.4,-0.7565765435986248,False,False,0.5113401889801026,0.5175166189670563,-0.006176429986953669,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,93.2,0.4308833122253418,0.48350648283958436,-0.05262317061424254,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,69.4,2.192772078514099,2.1401489078998566,0.052623170614242376,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,69.4
Full,1,1,0,2.822428424069675,1.630806628719268,1.191621795350407,-0.0037909175239448025,1.3314205415216147,1.6559733396815157,2.076788530140457,98.9,0.8950003084589346,True,True,0.3168104410171509,0.25282821655273435,0.06398222446441654,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,99.2,0.22500054836273192,0.21564872264862062,0.009351825714111306,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,88.7,2.402600884437561,2.4119527101516725,-0.009351825714111417,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,88.7
G,1,1,0,0.9374590854751726,0.4653019109908002,0.47215717448437244,0.00014488382814872036,0.45358104364756135,0.5730181723636774,0.7051583466573288,98.3,1.0409543809137778,True,True,0.307701575756073,0.25282821655273435,0.054873359203338634,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,98.3,0.21074453592300416,0.21564872264862062,-0.004904186725616461,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,78.7,2.416856896877289,2.4119527101516725,0.004904186725616544,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,78.7
A,1,1,0,0.33676061935269685,0.3550132221193733,-0.01825260276667645,0.004214053326598307,0.3604827114231403,0.45247618104933923,0.5636988405413615,80.6,-0.050633781283483684,False,False,0.25810316801071165,0.25282821655273435,0.005274951457977295,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,86.8,0.21354604959487916,0.21564872264862062,-0.002102673053741455,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,80.6,2.414055383205414,2.4119527101516725,0.002102673053741455,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,80.6
C,1,1,0,6.036199479149664,1.9339743362704374,4.1022251428792265,-0.03007533681968829,2.0293049689887557,2.622347805900514,3.314010965887097,100.0,2.02149268127178,True,True,0.3288022518157959,0.25282821655273435,0.07597403526306157,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,99.7,0.2500977754592896,0.21564872264862062,0.034449052810668956,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,97.6,2.3775036573410033,2.4119527101516725,-0.03444905281066912,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,97.6
G+C,1,1,0,2.6122905440873234,0.9487954950584091,1.6634950490289144,-0.007373950376773287,0.7740524498233667,0.9469318809376687,1.221552966208843,99.9,2.149072778477107,True,True,0.3168104410171509,0.25282821655273435,0.06398222446441654,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,99.2,0.22500054836273192,0.21564872264862062,0.009351825714111306,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,88.7,2.402600884437561,2.4119527101516725,-0.009351825714111417,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,88.7
A+C,1,1,0,2.032647633384363,0.8385068061869829,1.1941408271973801,-0.003304780878323779,0.6558655937557174,0.8072741338035904,1.0712332195548961,99.9,1.8207096676002001,True,True,0.3168104410171509,0.25282821655273435,0.06398222446441654,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,99.2,0.22500054836273192,0.21564872264862062,0.009351825714111306,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,88.7,2.402600884437561,2.4119527101516725,-0.009351825714111417,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,88.7
